Reward:-116.295 | Episode:470 | Qmax:4.1343 | Episode Length:3 |  True | Age:33.796 | Credit Amt:1805.176 | Duration:21.973 | 
Reward:-116.280 | Episode:480 | Qmax:3.0669 | Episode Length:3 |  True | Age:33.780 | Credit Amt:1805.176 | Duration:21.973 | 
Reward:-226.744 | Episode:490 | Qmax:0.8399 | Episode Length:49 |  False | Age:39.000 | Credit Amt:1805.176 | Duration:21.973 | 
Reward:-226.744 | Episode:500 | Qmax:0.4686 | Episode Length:49 |  False | Age:39.000 | Credit Amt:1805.176 | Duration:21.973 | 
Reward:-223.780 | Episode:510 | Qmax:1.3179 | Episode Length:49 |  False | Age:38.098 | Credit Amt:1805.176 | Duration:21.973 | 
Reward:-86.346 | Episode:520 | Qmax:0.5813 | Episode Length:3 |  True | Age:29.000 | Credit Amt:1884.634 | Duration:31.413 | 
Reward:-103.453 | Episode:530 | Qmax:0.7799 | Episode Length:4 |  True | Age:29.000 | Credit Amt:1805.176 | Duration:34.227 | 
Reward:-226.744 | Episode:540 | Qmax:0.3564 | Episode Length:49 |  False | Age:39.000 | Credit Amt:1805.176 | Duration:21.973 | 
Reward:-115.619 | Episode:550 | Qmax:9.8213 | Episode Length:4 |  True | Age:33.116 | Credit Amt:1805.610 | Duration:21.973 | 
Reward:-114.391 | Episode:560 | Qmax:4.9714 | Episode Length:4 |  True | Age:30.877 | Credit Amt:1805.176 | Duration:21.973 | 
Reward:-43.136 | Episode:570 | Qmax:8.7119 | Episode Length:4 |  True | Age:31.529 | Credit Amt:2212.209 | Duration:21.973 | 
Reward:-114.368 | Episode:580 | Qmax:6.6370 | Episode Length:4 |  True | Age:30.823 | Credit Amt:1805.176 | Duration:21.973 | 
Reward:-115.837 | Episode:590 | Qmax:8.8438 | Episode Length:9 |  True | Age:33.272 | Credit Amt:1805.176 | Duration:21.973 | 
Reward:-113.750 | Episode:600 | Qmax:3.6470 | Episode Length:4 |  True | Age:29.000 | Credit Amt:1805.176 | Duration:21.973 | 
Reward:-85.274 | Episode:610 | Qmax:5.1937 | Episode Length:4 |  True | Age:29.223 | Credit Amt:1947.115 | Duration:21.973 | 
Reward:-226.744 | Episode:620 | Qmax:7.3439 | Episode Length:49 |  False | Age:39.000 | Credit Amt:1805.176 | Duration:21.973 | 
Reward:-226.744 | Episode:630 | Qmax:12.1346 | Episode Length:49 |  False | Age:39.000 | Credit Amt:1805.176 | Duration:21.973 | 
Reward:-115.694 | Episode:640 | Qmax:10.2492 | Episode Length:4 |  True | Age:33.092 | Credit Amt:1805.176 | Duration:21.973 | 
Reward:-89.592 | Episode:650 | Qmax:11.1027 | Episode Length:3 |  True | Age:32.567 | Credit Amt:1932.123 | Duration:21.973 | 
Reward:-112.450 | Episode:660 | Qmax:15.8830 | Episode Length:3 |  True | Age:32.819 | Credit Amt:1805.176 | Duration:23.141 | 
Reward:-111.915 | Episode:670 | Qmax:18.5457 | Episode Length:3 |  True | Age:32.201 | Credit Amt:1805.176 | Duration:23.196 | 
Reward:-109.427 | Episode:680 | Qmax:15.8477 | Episode Length:2 |  True | Age:31.939 | Credit Amt:1805.176 | Duration:24.419 | 
Reward:-111.932 | Episode:690 | Qmax:15.9430 | Episode Length:2 |  True | Age:31.619 | Credit Amt:1805.176 | Duration:23.042 | 
Reward:-113.216 | Episode:700 | Qmax:13.0576 | Episode Length:2 |  True | Age:32.006 | Credit Amt:1805.176 | Duration:22.602 | 
Reward:-113.371 | Episode:710 | Qmax:14.1370 | Episode Length:2 |  True | Age:31.646 | Credit Amt:1805.176 | Duration:22.465 | 
