Reward:-226.744 | Episode:720 | Qmax:-67.0858 | Episode Length:49 |  False | Age:39.000 | Credit Amt:1805.176 | Duration:41.973 | 
Reward:-226.744 | Episode:730 | Qmax:-67.6272 | Episode Length:49 |  False | Age:39.000 | Credit Amt:1805.176 | Duration:41.973 | 
Reward:-103.601 | Episode:740 | Qmax:-68.0798 | Episode Length:7 |  True | Age:29.143 | Credit Amt:1805.176 | Duration:34.471 | 
Reward:-103.562 | Episode:750 | Qmax:-68.2734 | Episode Length:7 |  True | Age:30.120 | Credit Amt:1805.176 | Duration:33.649 | 
Reward:-226.744 | Episode:760 | Qmax:-68.3832 | Episode Length:49 |  False | Age:39.000 | Credit Amt:1805.176 | Duration:41.973 | 
Reward:-88.190 | Episode:770 | Qmax:-68.8139 | Episode Length:16 |  True | Age:29.000 | Credit Amt:1877.046 | Duration:33.539 | 
Reward:-24.710 | Episode:780 | Qmax:-69.2668 | Episode Length:49 |  False | Age:39.000 | Credit Amt:7285.567 | Duration:41.973 | 
Reward:-224.246 | Episode:790 | Qmax:-69.3609 | Episode Length:49 |  False | Age:39.000 | Credit Amt:11805.176 | Duration:22.906 | 
Reward:-220.128 | Episode:800 | Qmax:-69.5570 | Episode Length:49 |  False | Age:39.000 | Credit Amt:1805.176 | Duration:25.173 | 
Reward:-226.744 | Episode:810 | Qmax:-69.7673 | Episode Length:49 |  False | Age:39.000 | Credit Amt:1805.176 | Duration:41.973 | 
Reward:-7.456 | Episode:820 | Qmax:-70.1366 | Episode Length:49 |  False | Age:34.740 | Credit Amt:5729.930 | Duration:36.069 | 
Reward:-30.283 | Episode:830 | Qmax:-69.7276 | Episode Length:15 |  True | Age:29.395 | Credit Amt:2237.349 | Duration:26.916 | 
Reward:1.787 | Episode:840 | Qmax:-69.5992 | Episode Length:16 |  True | Age:29.000 | Credit Amt:2592.761 | Duration:21.973 | 
Reward:-53.557 | Episode:850 | Qmax:-69.4966 | Episode Length:18 |  True | Age:30.994 | Credit Amt:2087.426 | Duration:26.425 | 
Reward:-103.869 | Episode:860 | Qmax:-69.0689 | Episode Length:8 |  True | Age:30.896 | Credit Amt:1805.176 | Duration:30.294 | 
Reward:-226.744 | Episode:870 | Qmax:-68.9416 | Episode Length:49 |  False | Age:39.000 | Credit Amt:1805.176 | Duration:21.973 | 
Reward:-103.581 | Episode:880 | Qmax:-68.6364 | Episode Length:7 |  True | Age:30.517 | Credit Amt:1805.176 | Duration:30.656 | 
Reward:-102.986 | Episode:890 | Qmax:-68.5066 | Episode Length:5 |  True | Age:29.000 | Credit Amt:1805.176 | Duration:30.963 | 
Reward:-102.862 | Episode:900 | Qmax:-68.4320 | Episode Length:5 |  True | Age:29.097 | Credit Amt:1805.176 | Duration:31.461 | 
Reward:-85.435 | Episode:910 | Qmax:-68.3994 | Episode Length:6 |  True | Age:29.188 | Credit Amt:1892.101 | Duration:34.028 | 
Reward:-103.612 | Episode:920 | Qmax:-68.3706 | Episode Length:7 |  True | Age:29.020 | Credit Amt:1805.176 | Duration:34.565 | 
Reward:-81.779 | Episode:930 | Qmax:-68.4998 | Episode Length:7 |  True | Age:29.000 | Credit Amt:1908.189 | Duration:32.749 | 
Reward:-103.422 | Episode:940 | Qmax:-68.5548 | Episode Length:8 |  True | Age:29.000 | Credit Amt:1805.176 | Duration:34.156 | 
Reward:-103.253 | Episode:950 | Qmax:-68.3336 | Episode Length:6 |  True | Age:29.000 | Credit Amt:1805.176 | Duration:33.740 | 
Reward:-104.957 | Episode:960 | Qmax:-68.1996 | Episode Length:7 |  True | Age:29.000 | Credit Amt:1805.176 | Duration:36.716 | 
Reward:-104.110 | Episode:970 | Qmax:-68.1758 | Episode Length:6 |  True | Age:29.000 | Credit Amt:1805.176 | Duration:35.507 | 
Reward:-104.034 | Episode:980 | Qmax:-68.1783 | Episode Length:5 |  True | Age:29.000 | Credit Amt:1805.176 | Duration:35.377 | 
Reward:-104.350 | Episode:990 | Qmax:-68.0814 | Episode Length:5 |  True | Age:29.000 | Credit Amt:1805.176 | Duration:35.887 | 
Reward:-104.958 | Episode:1000 | Qmax:-68.0238 | Episode Length:5 |  True | Age:29.000 | Credit Amt:1805.176 | Duration:36.718 | 
Reward:-105.628 | Episode:1010 | Qmax:-67.9832 | Episode Length:5 |  True | Age:29.000 | Credit Amt:1805.176 | Duration:37.469 | 
Reward:-105.159 | Episode:1020 | Qmax:-67.7865 | Episode Length:8 |  True | Age:29.187 | Credit Amt:1805.176 | Duration:36.899 | 
Reward:-105.492 | Episode:1030 | Qmax:-67.7057 | Episode Length:6 |  True | Age:29.000 | Credit Amt:1805.176 | Duration:37.328 | 
Reward:-71.570 | Episode:1040 | Qmax:-67.6045 | Episode Length:9 |  True | Age:29.000 | Credit Amt:1965.084 | Duration:34.156 | 
Reward:-33.104 | Episode:1050 | Qmax:-67.6589 | Episode Length:10 |  True | Age:29.000 | Credit Amt:2208.396 | Duration:28.406 | 
Reward:-87.944 | Episode:1060 | Qmax:-67.6536 | Episode Length:13 |  True | Age:29.000 | Credit Amt:1878.748 | Duration:30.157 | 
Reward:-220.201 | Episode:1070 | Qmax:-67.5483 | Episode Length:49 |  False | Age:39.000 | Credit Amt:1805.176 | Duration:38.828 | 
Reward:-47.709 | Episode:1080 | Qmax:-67.6017 | Episode Length:9 |  True | Age:29.716 | Credit Amt:2128.373 | Duration:25.472 | 
Reward:-104.748 | Episode:1090 | Qmax:-67.4808 | Episode Length:7 |  True | Age:29.827 | Credit Amt:1805.176 | Duration:27.831 | 
Reward:-104.897 | Episode:1100 | Qmax:-67.5334 | Episode Length:7 |  True | Age:29.284 | Credit Amt:1805.176 | Duration:27.403 | 
